freeze_type,train_pct,checkpoint,bal_acc_first,bal_acc_last,bal_acc_best,miou_first,miou_last,miou_best,acc_first,acc_last,acc_best,loss_first,loss_last,loss_best,num_runs
frozen,0.01,pretrained,0.49893519282341,0.7020031213760376,0.77927565574646,0.3910036087036133,0.5287790894508362,0.5754344463348389,0.7820072174072266,0.8803269267082214,0.9102601408958436,0.6742448806762695,0.46380671858787537,0.3010943830013275,1
frozen,0.1,pretrained,0.6343525648117065,0.797188937664032,0.8227338194847107,0.4649319648742676,0.5848570466041565,0.6046679615974426,0.8701613545417786,0.927820086479187,0.9318400621414183,0.5688611268997192,0.39104777574539185,0.2220986932516098,1
frozen,1.0,pretrained,0.8168110847473145,0.8295079469680786,0.8414342403411865,0.5964609980583191,0.6031216382980347,0.614290714263916,0.9350193738937378,0.939889132976532,0.939749002456665,0.17144596576690674,0.32121965289115906,0.21715310215950012,1
full,0.01,pretrained,0.49893519282341,0.7499052882194519,0.8126092553138733,0.3910036087036133,0.5675481557846069,0.5828707218170166,0.7820072174072266,0.8943864107131958,0.9148651361465454,0.6742448806762695,0.3311724066734314,0.3918909728527069,1
full,0.1,pretrained,0.5020813345909119,0.8298882246017456,0.8483414649963379,0.39301174879074097,0.6137962937355042,0.6184282302856445,0.7857657670974731,0.93953138589859,0.9441573023796082,0.6622438430786133,0.18174202740192413,0.201144278049469,1
full,1.0,pretrained,0.68927001953125,0.8592901229858398,0.8610202074050903,0.418891578912735,0.6343277096748352,0.6323325037956238,0.7270200848579407,0.9467954039573668,0.945270299911499,0.5984416007995605,0.23096568882465365,0.18185052275657657,1
scheduled,0.01,pretrained,0.49893519282341,0.7370047569274902,0.8097413182258606,0.3910036087036133,0.5510963201522827,0.5936079621315002,0.7820072174072266,0.8966137170791626,0.9213939905166626,0.6742448806762695,0.2960478365421295,0.30239951610565186,1
scheduled,0.1,pretrained,0.5140758752822876,0.8089585304260254,0.8200099468231201,0.39784732460975647,0.5972048044204712,0.6055079102516174,0.7951385378837585,0.9312877655029296,0.9331637024879456,0.6455376744270325,0.2422647476196289,0.1959559470415115,1
scheduled,1.0,pretrained,0.8044291734695435,0.8421404361724854,0.849576473236084,0.5760608315467834,0.6141723990440369,0.6211092472076416,0.9181854128837584,0.9441069960594176,0.9432740807533264,0.28327301144599915,0.2894420623779297,0.240698903799057,1
scratch,0.01,scratch,0.5,0.6231034398078918,0.6271738409996033,0.10706819593906404,0.4147104322910309,0.4068865478038788,0.21413639187812805,0.7497655749320984,0.7332097887992859,0.7889852523803711,0.633339524269104,0.6760724186897278,2
scratch,0.1,scratch,0.5,0.7241858243942261,0.7410246729850769,0.10706819593906404,0.5058324337005615,0.490693598985672,0.21413639187812805,0.883919894695282,0.8566804528236389,0.7778500318527222,0.3204682469367981,0.3949293196201325,2
scratch,1.0,scratch,0.5656607747077942,0.7930819392204285,0.802767276763916,0.32198381423950195,0.5487632155418396,0.545312762260437,0.6170907616615295,0.9192391633987428,0.9096895456314088,0.6396201848983765,0.2542415261268616,0.24367766082286835,2
