run_name,freeze_type,train_pct,checkpoint,freeze_encoder,tune_schedule,has_metrics,bal_acc_best
tune_frozen_pct0.01_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_10-54-15,full,0.01,pretrained,True,No,False,0.77927565574646
tune_frozen_pct0.1_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_10-55-23,full,0.1,pretrained,True,No,False,0.8227338194847107
tune_frozen_pct1.0_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_11-19-30,full,1.0,pretrained,True,No,False,0.8414342403411865
tune_scratch_pct0.01_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_11-26-51,full,0.01,scratch,False,No,False,0.6271738409996033
tune_scratch_pct0.1_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_11-26-53,full,0.1,scratch,False,No,False,0.7410246729850769
tune_full_pct0.1_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_11-35-25,full,0.1,pretrained,False,No,False,0.8483414649963379
tune_full_pct0.01_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_11-35-24,full,0.01,pretrained,False,No,False,0.8126092553138733
tune_scratch_pct1.0_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_11-35-31,full,1.0,scratch,False,No,False,0.802767276763916
tune_full_pct1.0_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_11-47-18,full,1.0,pretrained,False,No,False,0.8610202074050903
tune_scheduled_pct1.0_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_17-09-23,scheduled,1.0,pretrained,False,Yes,False,
tune_scheduled_pct0.01_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_17-09-23,scheduled,0.01,pretrained,False,Yes,False,
tune_scheduled_pct0.1_run0_ckptvits_radius0.2_neighbors32_mr07_uldata1.0_best_lost0.0018.ckpt_0_2025-06-02_17-09-23,scheduled,0.1,pretrained,False,Yes,False,
tune_full_pct1.0_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-43-18,full,1.0,pretrained,False,No,False,0.8104392886161804
tune_frozen_pct0.1_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-43-18,full,0.1,pretrained,True,No,False,0.7963915467262268
tune_full_pct0.1_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-43-18,full,0.1,pretrained,False,No,False,0.816811203956604
tune_frozen_pct0.01_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-43-22,full,0.01,pretrained,True,No,False,0.719717800617218
tune_full_pct0.01_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-43-24,full,0.01,pretrained,False,No,False,0.7683880925178528
tune_scratch_pct1.0_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-43-24,full,1.0,scratch,False,No,False,0.802767276763916
tune_scratch_pct0.1_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-43-24,full,0.1,scratch,False,No,False,0.7410246729850769
tune_scratch_pct0.01_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-43-25,full,0.01,scratch,False,No,False,0.6271738409996033
tune_frozen_pct1.0_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-56-11,full,1.0,pretrained,True,No,False,0.8215654492378235
tune_scheduled_pct0.01_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_12-56-11,scheduled,0.01,pretrained,False,Yes,False,
tune_scheduled_pct1.0_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_13-09-32,scheduled,1.0,pretrained,False,Yes,False,
tune_scheduled_pct0.1_run0_ckptvits_radius0.2_neighbors32_mr07_uldata0.05_best_lost0.0019.ckpt_0_2025-06-03_13-09-40,scheduled,0.1,pretrained,False,Yes,False,
